Species
Microlipophrys canevae
Microlipophrys dalmatinus
Microlipophrys nigriceps
Micromesistius poutassou
Microstoma microstoma
Millerigobius macrocephalus
Minyichthys sentus
Mobula mobular
Mola mola
Molva dypterygia
Molva macrophthalma
Molva molva
Monochirus hispidus
Monotaxis grandoculis
Mora moro
Mugil cephalus
Mullus barbatus
Mullus surmuletus
Muraena helena
Muraenesox cinereus
Mustelus asterias
Mustelus mustelus
Mustelus punctulatus
Mycteroperca fusca
Mycteroperca rubra
Myctophum punctatum
Myliobatis aquila
Mystriophis crosnieri
Myxine glutinosa
Nansenia iberica
Nansenia oblita
Naucrates ductor
Nemichthys scolopaceus
Nemipterus japonicus
Nemipterus randalli
Nerophis lumbriciformis
Nerophis maculatus
Nerophis ophidion
Nettastoma melanura
Netuma thalassina
Nezumia aequalis
Nezumia sclerorhynchus
Notacanthus bonaparte
Notoscopelus bolini
Notoscopelus elongatus
Notoscopelus kroyeri
Oblada melanurus
Odondebuenia balearica
Odontaspis ferox
Oedalechilus labeo
Omobranchus punctatus
Opeatogenys gracilis
Ophichthus ophis
Ophichthus rufus
Ophidion barbatum
Ophidion rochei
Ophisurus serpens
Oplegnathus fasciatus
Orcynopsis unicolor
Ostorhinchus fasciatus
Ostracion cubicum
Oxynotus centrina
Oxyurichthys papuensis
Oxyurichthys petersii
Pagellus acarne
Pagellus bellottii
Pagellus bogaraveo
Pagellus erythrinus
Pagrus auriga
Pagrus caeruleostictus
Pagrus major
Pagrus pagrus
Pampus argenteus
Panturichthys fowleri
Papilloculiceps longiceps
Parablennius gattorugine
Parablennius incognitus
Parablennius pilicornis
Parablennius rouxi
Parablennius sanguinolentus
Parablennius tentacularis
Parablennius thysanius
Parablennius zvonimiri
Paralepis coregonoides
Paralepis speciosa
Paraliparis murieli
Parapristipoma humile
Parapristipoma octolineatum
Parexocoetus mento
Parophidion vassali
Parupeneus forsskali
Pegusa impar
Pegusa lascaris
Pegusa nasuta
Pelates quadrilineatus
Pempheris mangula
Pempheris rhomboidea
Peristedion cataphractum
Petromyzon marinus
Petroscirtes ancylodon
Phycis blennoides
Phycis phycis
Physiculus dalwigki
Planiliza carinata
Planiliza haematocheilus
Platax teira
Platichthys flesus
Platycephalus indicus
Plectorhinchus mediterraneus
Pleuronectes platessa
Plotosus lineatus
Polyacanthonotus rissoanus
Polyprion americanus
Pomacanthus imperator
Pomacanthus maculosus
Pomadasys incisus
Pomadasys stridens
Pomatomus saltatrix
Pomatoschistus bathi
Pomatoschistus flavescens
Pomatoschistus knerii
Pomatoschistus marmoratus
Pomatoschistus microps
Pomatoschistus minutus
Pomatoschistus norvegicus
Pomatoschistus pictus
Pomatoschistus quagga
Pomatoschistus tortonesei
Pontinus kuhlii
Priacanthus hamrur
Priacanthus sagittarius
Prionace glauca
Pristis pectinata
Pristis pristis
Psenes pellucidus
Pseudaphya ferreri
Pseudocaranx dentex
Pseudotolithus senegallus
Pseudupeneus prayensis
Pteragogus pelycus
Pteragogus trispilus
Pterois miles
Pteroplatytrygon violacea
Rachycentron canadum
Raja asterias
Raja brachyura
Raja clavata
Raja mauritaniensis
Raja miraletus
Raja montagui
Raja polystigma
Raja radula
Raja rondeleti
Raja undulata
Ranzania laevis
Rastrelliger kanagurta
Regalecus glesne
Remora australis
Remora brachyptera
Remora osteochir
Remora remora
Rhabdosargus haffara
Rhinobatos rhinobatos
Rhinoptera marginata
Rhynchoconger trewavasae
Rhynchogadus hepaticus
Rostroraja alba
Ruvettus pretiosus
Salaria basilisca
Salaria pavo
Salmo salar
Salmo trutta
Sarda sarda
Sardina pilchardus
Sardinella aurita
Sardinella gibbosa
Sardinella maderensis
Sargocentron praslin
Sargocentron rubrum
Sargocentron spinosissimum
Sargocentron tiereoides
Sarpa salpa
Saurenchelys cancrivora
Saurida lessepsianus
Saurida undosquamis
Scartella cristata
Scarus ghobban
Scatophagus argus
Schedophilus medusophagus
Schedophilus ovalis
Sciaena umbra
Sciaenops ocellatus
Scomber colias
Scomber japonicus
Scomber scombrus
Scomberesox saurus
Scomberomorus commerson
Scomberomorus tritor
Scophthalmus maeoticus
Scophthalmus maximus
Scophthalmus rhombus
Scorpaena azorica
Scorpaena elongata
Scorpaena loppei
Scorpaena maderensis
Scorpaena notata
Scorpaena porcus
Scorpaena scrofa
Scorpaena stephanica
Scorpaenodes arenai
Scyliorhinus canicula
Scyliorhinus duhamelii
Scyliorhinus stellaris
Sebastapistes mauritiana
Seriola carpenteri
Seriola dumerili
Seriola fasciata
Serranus atricauda
